ResponseId,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_8,A2_9,A2_10,A2_11
1062,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Child's Age,Parent's Financial Situation,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Parent's Education,Reason Child Entered Foster Care,Parent's Age,Parent,NO support,< 1 Year,15-17 Years,NOT working and DOES NOT NEED public assistance to afford necessities,African American or Black,100%,100%,Some College,Inadequate Supervision,45 Years,Mother,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Child's Age,Parent's Financial Situation,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Parent's Education,Reason Child Entered Foster Care,Parent's Age,Parent,SOME support,3-5 Years,5-9 Years,Working and NEEDS public assistance to afford necessities,Asian,50%,100%,Graduated High School,Parental Substance Misuse (drugs/alcohol),35 Years,Father
1063,Parent's Age,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent's Level of Family / Community Support,Child's Age,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Parent's Financial Situation,Parent,Parent's Education,35 Years,Native American,3-5 Years,"Inadequate Food, Shelter, or Clothing",A LOT of support,5-9 Years,50%,25%,NOT working and NEEDS public assistance to afford necessities,Father,Some College,Parent's Age,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent's Level of Family / Community Support,Child's Age,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Parent's Financial Situation,Parent,Parent's Education,45 Years,African American or Black,< 1 Year,Child Witnessed Domestic Violence in the Home (Parent was the victim),NO support,10-14 Years,0%,100%,NOT working and DOES NOT NEED public assistance to afford necessities,Father,Some High School
1064,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent's Level of Family / Community Support,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Attendance at Visits with Child,Parent,Parent's Age,Child's Age,Parent's Race/Ethnicity,Parent's Education,1-3 Years,Child Witnessed Domestic Violence in the Home (Parent was the victim),SOME support,75%,Working and NEEDS public assistance to afford necessities,75%,Father,35 Years,5-9 Years,Non-Hispanic White,Graduated College,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent's Level of Family / Community Support,Parent's Completion of Required Services,Parent's Financial Situation,Parent's Attendance at Visits with Child,Parent,Parent's Age,Child's Age,Parent's Race/Ethnicity,Parent's Education,< 1 Year,Child Witnessed Domestic Violence in the Home (Parent was the victim),SOME support,25%,Working and DOES NOT NEED public assistance to afford necessities,75%,Mother,55 Years,5-9 Years,Non-Hispanic White,Graduated High School
1065,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent,Child's Age,Parent's Completion of Required Services,Parent's Age,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Education,Parent's Level of Family / Community Support,< 1 Year,"Inadequate Food, Shelter, or Clothing",Mother,15-17 Years,75%,25 Years,Hispanic or Latino,50%,Working and NEEDS public assistance to afford necessities,Some High School,A LOT of support,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent,Child's Age,Parent's Completion of Required Services,Parent's Age,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Education,Parent's Level of Family / Community Support,< 1 Year,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",Father,< 5 Years,100%,25 Years,Hispanic or Latino,100%,Working and NEEDS public assistance to afford necessities,Graduated College,SOME support
1066,Parent's Attendance at Visits with Child,Reason Child Entered Foster Care,Parent,Parent's Financial Situation,Parent's Race/Ethnicity,Child's Age,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Parent's Education,Parent's Age,Parent's Completion of Required Services,75%,"Inadequate Food, Shelter, or Clothing",Father,NOT working and NEEDS public assistance to afford necessities,African American or Black,< 5 Years,SOME support,< 1 Year,Graduated High School,35 Years,50%,Parent's Attendance at Visits with Child,Reason Child Entered Foster Care,Parent,Parent's Financial Situation,Parent's Race/Ethnicity,Child's Age,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Parent's Education,Parent's Age,Parent's Completion of Required Services,50%,"Inadequate Food, Shelter, or Clothing",Father,Working and NEEDS public assistance to afford necessities,Asian,10-14 Years,SOME support,3-5 Years,Graduated High School,35 Years,25%
1067,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent's Level of Family / Community Support,Parent's Age,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Education,Parent,Parent's Financial Situation,Parent's Completion of Required Services,Child's Age,> 5 Years,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",A LOT of support,45 Years,Hispanic or Latino,100%,Some High School,Father,NOT working and DOES NOT NEED public assistance to afford necessities,0%,< 5 Years,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,Parent's Level of Family / Community Support,Parent's Age,Parent's Race/Ethnicity,Parent's Attendance at Visits with Child,Parent's Education,Parent,Parent's Financial Situation,Parent's Completion of Required Services,Child's Age,1-3 Years,Inadequate Supervision,NO support,25 Years,African American or Black,25%,Some College,Mother,NOT working and DOES NOT NEED public assistance to afford necessities,100%,15-17 Years
1068,Child's Age,Parent's Race/Ethnicity,Parent's Education,Parent's Level of Family / Community Support,Parent's Age,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Attendance at Visits with Child,10-14 Years,Non-Hispanic White,Graduated High School,NO support,45 Years,25%,> 5 Years,Mother,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",Working and NEEDS public assistance to afford necessities,100%,Child's Age,Parent's Race/Ethnicity,Parent's Education,Parent's Level of Family / Community Support,Parent's Age,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Attendance at Visits with Child,10-14 Years,Asian,Graduated College,A LOT of support,35 Years,75%,3-5 Years,Father,"Inadequate Food, Shelter, or Clothing",NOT working and NEEDS public assistance to afford necessities,100%
1069,Parent's Education,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Parent's Financial Situation,Child's Age,Parent's Age,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Parent's Race/Ethnicity,Parent,Some High School,Child Witnessed Domestic Violence in the Home (Parent was the victim),< 1 Year,NOT working and DOES NOT NEED public assistance to afford necessities,5-9 Years,25 Years,0%,25%,A LOT of support,Asian,Father,Parent's Education,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Parent's Financial Situation,Child's Age,Parent's Age,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Parent's Race/Ethnicity,Parent,Some College,Child Witnessed Domestic Violence in the Home (Parent was the victim),3-5 Years,Working and DOES NOT NEED public assistance to afford necessities,10-14 Years,55 Years,100%,0%,A LOT of support,African American or Black,Mother
1070,Child's Amount of Time in Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Parent's Race/Ethnicity,Parent's Financial Situation,Parent's Level of Family / Community Support,Child's Age,Parent,Reason Child Entered Foster Care,Parent's Age,> 5 Years,Some High School,50%,50%,African American or Black,NOT working and DOES NOT NEED public assistance to afford necessities,A LOT of support,< 5 Years,Father,Child Witnessed Domestic Violence in the Home (Parent was the victim),45 Years,Child's Amount of Time in Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Parent's Race/Ethnicity,Parent's Financial Situation,Parent's Level of Family / Community Support,Child's Age,Parent,Reason Child Entered Foster Care,Parent's Age,1-3 Years,Graduated College,100%,100%,Asian,NOT working and NEEDS public assistance to afford necessities,NO support,5-9 Years,Father,Inadequate Supervision,25 Years
1071,Parent's Race/Ethnicity,Parent's Completion of Required Services,Parent's Age,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Age,Parent's Education,Parent,Parent's Financial Situation,Parent's Attendance at Visits with Child,Child's Amount of Time in Foster Care,Non-Hispanic White,50%,55 Years,SOME support,Parental Substance Misuse (drugs/alcohol),10-14 Years,Graduated College,Mother,NOT working and NEEDS public assistance to afford necessities,100%,< 1 Year,Parent's Race/Ethnicity,Parent's Completion of Required Services,Parent's Age,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Age,Parent's Education,Parent,Parent's Financial Situation,Parent's Attendance at Visits with Child,Child's Amount of Time in Foster Care,Native American,75%,25 Years,SOME support,"Inadequate Food, Shelter, or Clothing",5-9 Years,Some College,Mother,NOT working and NEEDS public assistance to afford necessities,0%,1-3 Years
1072,Parent's Completion of Required Services,Child's Age,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent,Parent's Level of Family / Community Support,Parent's Age,Parent's Race/Ethnicity,Parent's Education,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,25%,< 5 Years,75%,NOT working and DOES NOT NEED public assistance to afford necessities,Mother,A LOT of support,25 Years,African American or Black,Graduated High School,1-3 Years,"Inadequate Food, Shelter, or Clothing",Parent's Completion of Required Services,Child's Age,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent,Parent's Level of Family / Community Support,Parent's Age,Parent's Race/Ethnicity,Parent's Education,Child's Amount of Time in Foster Care,Reason Child Entered Foster Care,75%,5-9 Years,50%,NOT working and DOES NOT NEED public assistance to afford necessities,Mother,A LOT of support,45 Years,Native American,Graduated College,< 1 Year,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)"
